08:36:46 [AccountInfo] Account connected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
08:36:56 [AccountInfo] Account disconnected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
21:45:40 [AccountInfo] Account created (Account: test1234, Password: test1234 )
21:45:41 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
21:46:42 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
21:48:40 [AccountInfo] Account connected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
21:56:51 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
21:57:51 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
22:00:16 [AccountInfo] Account disconnected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
23:29:14 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
23:30:15 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
23:56:55 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
23:57:56 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
